name,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21
【郷土色豊かなバイキング・絶景露天が自慢】御宿東鳳 ,15400,17400,30400,15400,15400,15400,17400,17400,17400,30400,17400,15400,15400,19400
くつろぎ宿新滝 ,15600,11600,17600,11600,11600,11600,11600,11600,11600,21600,13600,13600,13600,13600
会津芦ノ牧温泉丸峰別館川音 ,15400,17600,24200,17600,15400,13200,13200,13200,17600,24200,35200,13200,13200,17600
絶景露天風呂と貸切風呂が自慢の宿東山温泉庄助の宿瀧の湯 ,15400,13200,26400,13200,13200,13200,13200,13200,17600,26400,13200,13200,13200,15400
料理旅館今昔亭 ,17600,17600,24200,17600,17600,17600,17600,17600,17600,24200,17600,0,0,19800
向瀧 ,39600,46200,50600,39600,39600,39600,39600,39600,39600,50600,46200,39600,39600,39600
くつろぎ宿千代滝 ,13600,11600,17600,11600,11600,11600,11600,11600,11600,0,0,13600,13600,13600
客室専用露天風呂付のスイートルームはなれ松島閣 ,37400,41800,0,41800,41800,0,39600,39600,39600,50600,33000,35200,33000,44000
料理旅館田事 ,28600,24200,28600,15400,15400,15400,15400,15400,24200,0,28600,15400,15400,28600
大江戸温泉物語会津東山温泉東山グランドホテル ,15960,15960,22960,15960,15960,15960,15960,15960,15960,24414,15960,15960,15960,15960
大江戸温泉物語会津神指温泉あいづ ,15960,15960,16164,15960,15960,15960,15960,15960,15960,20784,15960,15960,15960,15960
渓流の宿渓山 ,35200,35200,37400,35200,0,0,0,35200,35200,37400,35200,35200,0,35200
会津芦ノ牧温泉芦ノ牧グランドホテル ,29260,10780,0,22000,10780,10780,10780,22000,22000,12980,10780,10780,10780,12980
新鶴温泉ほっとぴあ新鶴 ,12100,11000,20900,12100,11000,11000,11000,11000,11000,20900,11000,11000,11000,11000
芦ノ牧温泉芦ノ牧プリンスホテル ,9900,0,13200,9900,9900,9900,9900,9900,12000,16500,16500,11000,11000,20900
駅前フジグランドホテル ,9200,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
東山パークホテル新風月【伊東園ホテルズ】 ,10890,10890,13090,10890,10890,10890,10890,10890,10890,13090,10890,10890,10890,10890
会津芦ノ牧温泉丸峰本館 ,13200,13200,37400,0,13200,13200,0,0,0,37400,0,13200,13200,0
ＯＹＯホテルＫａｉｅｎ会津若松 ,7030,0,0,0,0,0,0,0,0,7030,0,0,6650,0
会津芦ノ牧温泉 大川荘 絶景露天風呂と美食懐石が自慢の老舗旅館 ,0,31680,39600,20000,0,0,0,29920,20000,39600,20000,0,0,33000
【源泉100％掛け流しの宿】会津芦ノ牧温泉不動館 小谷の湯 ,0,13200,15400,13200,13200,0,13200,13200,13200,24200,13200,0,13200,13200
会津若松ワシントンホテル ,0,7400,8400,7400,7400,7400,7200,7200,7200,8200,7200,7200,7100,8100
ホテルルートイン会津若松 ,0,15500,11500,9900,12300,12300,12300,12300,14200,14600,11100,11400,11400,11400
自家源泉の宿原瀧 ,0,19800,33000,19800,19800,19800,19800,19800,19800,26400,22000,22000,22000,22000
中町フジグランドホテル ,0,10700,10700,10700,10700,10700,10700,10700,10700,10700,10700,10700,10700,10700
ホテルタカコー ,0,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
会津芦ノ牧温泉離れ山翠 ,0,49500,56100,0,49500,49500,0,49500,49500,0,49500,49500,49500,49500
東横ＩＮＮ会津若松駅前 ,0,8500,9500,8500,8500,8500,8500,8500,8500,9500,8500,8500,9500,8500
ホテル大阪屋 ,0,8400,10000,8400,8400,10000,10000,10000,8400,9800,9800,8400,8400,8400
会津東山温泉おやど東山 ,0,25300,27500,26400,26400,0,0,26400,25300,27500,26400,26400,26400,26400
ホテル・アルファ−ワン会津若松 ,0,8640,8640,8640,8640,8640,8640,0,0,8640,8640,8640,8640,0
YUKKURA INN〜ゆっくらイン〜 ,0,7700,9900,7700,7700,7700,7700,0,0,9900,0,7700,7700,0
有馬屋旅館 ,0,0,22000,0,0,13200,13200,13200,13200,22000,19800,19800,0,26400
いろりの宿芦名 ,0,0,0,12100,12100,12100,12100,12100,12100,0,12100,12100,0,13200
会津東山温泉月のあかり ,0,0,0,0,0,7700,7700,0,0,0,0,0,7700,0
ホテルニューパレス ,0,0,0,0,0,10740,10740,0,0,0,0,0,0,0
